Date,Close,High,Low,Open,Volume,Sentiment
2022-01-12,18212.349609375,18227.94921875,18128.80078125,18170.400390625,245000,1
2022-01-13,18257.80078125,18272.25,18163.80078125,18257.0,303700,-1
2022-01-14,18255.75,18286.94921875,18119.650390625,18185.0,229500,1
2022-01-17,18308.099609375,18321.55078125,18228.75,18235.650390625,266700,-1
2022-01-18,18113.05078125,18350.94921875,18085.900390625,18337.19921875,227500,-1
2022-01-19,17938.400390625,18129.19921875,17884.900390625,18129.19921875,276700,1
2022-01-20,17757.0,17943.69921875,17648.44921875,17921.0,258100,-1
2022-01-21,17617.150390625,17707.599609375,17485.849609375,17613.69921875,277600,-1
2022-01-24,17149.099609375,17599.400390625,16997.849609375,17575.150390625,323800,-1
2022-01-25,17277.94921875,17309.150390625,16836.80078125,17001.55078125,326500,1
2022-01-27,17110.150390625,17182.5,16866.75,17062.0,395600,-1
2022-01-28,17101.94921875,17373.5,17077.099609375,17208.30078125,355300,-1
2022-01-31,17339.849609375,17410.0,17264.150390625,17301.05078125,321700,1
2022-02-01,17576.849609375,17622.400390625,17244.55078125,17529.44921875,386400,1
2022-02-02,17780.0,17794.599609375,17674.80078125,17706.19921875,271200,1
2022-02-03,17560.19921875,17781.150390625,17511.150390625,17767.75,226600,1
2022-02-04,17516.30078125,17617.80078125,17462.55078125,17590.19921875,261400,-1
2022-02-07,17213.599609375,17536.75,17119.400390625,17456.30078125,265000,1
2022-02-08,17266.75,17306.44921875,17043.650390625,17279.849609375,268500,-1
2022-02-09,17463.80078125,17477.150390625,17339.0,17370.099609375,236400,1
2022-02-10,17605.849609375,17639.44921875,17427.150390625,17554.099609375,273600,-1
2022-02-11,17374.75,17454.75,17303.0,17451.0,253100,-1
2022-02-14,16842.80078125,17099.5,16809.650390625,17076.150390625,305500,-1
2022-02-15,17352.44921875,17375.0,16839.25,16933.25,298700,-1
2022-02-16,17322.19921875,17490.599609375,17257.69921875,17408.44921875,244500,1
2022-02-17,17304.599609375,17442.900390625,17235.849609375,17396.55078125,232100,-1
2022-02-18,17276.30078125,17380.80078125,17219.19921875,17236.05078125,189600,-1
2022-02-21,17206.650390625,17351.05078125,17070.69921875,17192.25,215200,1
2022-02-22,17092.19921875,17148.55078125,16843.80078125,16847.94921875,300100,1
2022-02-23,17063.25,17220.69921875,17027.849609375,17194.5,200200,-1
2022-02-24,16247.9501953125,16705.25,16203.25,16548.900390625,458000,-1
2022-02-25,16658.400390625,16748.80078125,16478.30078125,16515.650390625,329800,1
2022-02-28,16793.900390625,16815.900390625,16356.2998046875,16481.599609375,404200,1
2022-03-02,16605.94921875,16678.5,16478.650390625,16593.099609375,517700,1
2022-03-03,16498.05078125,16768.94921875,16442.94921875,16723.19921875,442100,-1
2022-03-04,16245.349609375,16456.0,16133.7998046875,16339.4501953125,456100,-1
2022-03-07,15863.150390625,15944.599609375,15711.4501953125,15867.9501953125,585400,-1
2022-03-08,16013.4501953125,16028.75,15671.4501953125,15747.75,543600,-1
2022-03-09,16345.349609375,16418.05078125,15990.0,16078.0,462200,1
2022-03-10,16594.900390625,16757.30078125,16447.900390625,16757.099609375,486400,-1
2022-03-11,16630.44921875,16694.400390625,16470.900390625,16528.80078125,343700,-1
2022-03-14,16871.30078125,16887.94921875,16606.5,16633.69921875,314700,1
2022-03-15,16663.0,16927.75,16555.0,16900.650390625,381600,1
2022-03-16,16975.349609375,16987.900390625,16837.849609375,16876.650390625,260000,-1
2022-03-17,17287.05078125,17344.599609375,17175.75,17202.900390625,448300,-1
2022-03-21,17117.599609375,17353.349609375,17096.400390625,17329.5,285500,1
2022-03-22,17315.5,17334.400390625,17006.30078125,17120.400390625,338300,1
2022-03-23,17245.650390625,17442.400390625,17199.599609375,17405.05078125,292100,-1
2022-03-24,17222.75,17291.75,17091.150390625,17094.94921875,290300,-1
2022-03-25,17153.0,17294.900390625,17076.55078125,17289.0,237100,1
2022-03-28,17222.0,17235.099609375,17003.900390625,17181.849609375,253200,-1
2022-03-29,17325.30078125,17343.650390625,17235.69921875,17297.19921875,235100,1
2022-03-30,17498.25,17522.5,17387.19921875,17468.150390625,505000,1
2022-03-31,17464.75,17559.80078125,17435.19921875,17519.19921875,281100,-1
2022-04-01,17670.44921875,17703.69921875,17422.69921875,17436.900390625,291800,1
2022-04-04,18053.400390625,18114.650390625,17791.400390625,17809.099609375,345500,1
2022-04-05,17957.400390625,18095.44921875,17921.55078125,18080.599609375,283500,1
2022-04-06,17807.650390625,17901.0,17779.849609375,17842.75,328800,-1
2022-04-07,17639.55078125,17787.5,17623.69921875,17723.30078125,308800,-1
2022-04-08,17784.349609375,17842.75,17600.55078125,17698.150390625,274400,-1
2022-04-11,17674.94921875,17779.05078125,17650.94921875,17740.900390625,251700,1
2022-04-12,17530.30078125,17595.30078125,17442.349609375,17584.849609375,266000,1
2022-04-13,17475.650390625,17663.650390625,17457.400390625,17599.900390625,245100,-1
2022-04-18,17173.650390625,17237.75,17067.849609375,17183.44921875,376100,-1
2022-04-19,16958.650390625,17275.650390625,16824.69921875,17258.94921875,401400,1
2022-04-20,17136.55078125,17186.900390625,16978.94921875,17045.25,286100,1
2022-04-21,17392.599609375,17414.69921875,17215.5,17234.599609375,285200,1
2022-04-22,17171.94921875,17315.30078125,17149.19921875,17242.75,262700,1
2022-04-25,16953.94921875,17054.30078125,16888.69921875,17009.05078125,275700,1
2022-04-26,17200.80078125,17223.849609375,17064.44921875,17121.30078125,261100,-1
2022-04-27,17038.400390625,17110.69921875,16958.44921875,17073.349609375,265100,-1
2022-04-28,17245.05078125,17322.5,17071.05078125,17189.5,312900,1
2022-04-29,17102.55078125,17377.650390625,17053.25,17329.25,336200,1
2022-05-02,17069.099609375,17092.25,16917.25,16924.44921875,278200,-1
2022-05-04,16677.599609375,17132.849609375,16623.94921875,17096.599609375,310600,-1
2022-05-05,16682.650390625,16945.69921875,16651.849609375,16854.75,265800,-1
2022-05-06,16411.25,16484.19921875,16340.900390625,16415.55078125,300500,-1
2022-05-09,16301.849609375,16403.69921875,16142.099609375,16227.7001953125,288400,1
2022-05-10,16240.0498046875,16404.55078125,16197.2998046875,16248.900390625,283100,-1
2022-05-11,16167.099609375,16318.75,15992.599609375,16270.0498046875,284300,1
2022-05-12,15808.0,16041.9501953125,15735.75,16021.099609375,314900,1
2022-05-13,15782.150390625,16083.599609375,15740.849609375,15977.0,369100,-1
2022-05-16,15842.2998046875,15977.9501953125,15739.650390625,15845.099609375,217600,-1
2022-05-17,16259.2998046875,16284.25,15900.7998046875,15912.599609375,295700,1
2022-05-18,16240.2998046875,16399.80078125,16211.2001953125,16318.150390625,290400,-1
2022-05-19,15809.400390625,15984.75,15775.2001953125,15917.400390625,313900,1
2022-05-20,16266.150390625,16283.0498046875,16003.849609375,16043.7998046875,252400,-1
2022-05-23,16214.7001953125,16414.69921875,16185.75,16290.9501953125,293800,-1
2022-05-24,16125.150390625,16262.7998046875,16078.599609375,16225.5498046875,249800,-1
2022-05-25,16025.7998046875,16223.349609375,16006.9501953125,16196.349609375,243300,-1
2022-05-26,16170.150390625,16204.4501953125,15903.7001953125,16105.0,314300,-1
2022-05-27,16352.4501953125,16370.599609375,16221.9501953125,16296.599609375,274100,1
2022-05-30,16661.400390625,16695.5,16506.150390625,16527.900390625,251400,1
2022-05-31,16584.55078125,16690.75,16521.900390625,16578.44921875,651600,-1
2022-06-01,16522.75,16649.19921875,16438.849609375,16594.400390625,249600,-1
2022-06-02,16628.0,16646.400390625,16443.05078125,16481.650390625,236000,-1
2022-06-03,16584.30078125,16793.849609375,16567.900390625,16761.650390625,245500,-1
2022-06-06,16569.55078125,16610.94921875,16444.55078125,16530.69921875,233600,1
2022-06-07,16416.349609375,16487.25,16347.099609375,16469.599609375,233800,1
2022-06-08,16356.25,16514.30078125,16293.349609375,16474.94921875,243500,1
2022-06-09,16478.099609375,16492.80078125,16243.849609375,16263.849609375,205000,1
2022-06-10,16201.7998046875,16324.7001953125,16172.599609375,16283.9501953125,189700,-1
2022-06-13,15774.400390625,15886.150390625,15684.0,15877.5498046875,225500,-1
2022-06-14,15732.099609375,15858.0,15659.4501953125,15674.25,225400,1
2022-06-15,15692.150390625,15783.650390625,15678.900390625,15729.25,183000,-1
2022-06-16,15360.599609375,15863.150390625,15335.099609375,15832.25,264700,-1
2022-06-17,15293.5,15400.400390625,15183.400390625,15272.650390625,342600,-1
2022-06-20,15350.150390625,15382.5,15191.099609375,15334.5,260000,-1
2022-06-21,15638.7998046875,15707.25,15419.849609375,15455.9501953125,262800,1
2022-06-22,15413.2998046875,15565.400390625,15385.9501953125,15545.650390625,220900,-1
2022-06-23,15556.650390625,15628.4501953125,15367.5,15451.5498046875,259200,-1
2022-06-24,15699.25,15749.25,15619.4501953125,15657.400390625,219600,-1
2022-06-27,15832.0498046875,15927.4501953125,15815.5,15926.2001953125,210900,-1
2022-06-28,15850.2001953125,15892.099609375,15710.150390625,15757.4501953125,251900,-1
2022-06-29,15799.099609375,15861.599609375,15687.7998046875,15701.7001953125,444900,1
2022-06-30,15780.25,15890.0,15728.849609375,15774.5,306000,-1
2022-07-01,15752.0498046875,15793.9501953125,15511.0498046875,15703.7001953125,364100,1
2022-07-04,15835.349609375,15852.349609375,15661.7998046875,15710.5,304300,-1
2022-07-05,15810.849609375,16025.75,15785.4501953125,15909.150390625,254200,-1
2022-07-06,15989.7998046875,16011.349609375,15800.900390625,15818.2001953125,288400,1
2022-07-07,16132.900390625,16150.5,16045.9501953125,16113.75,264600,1
2022-07-08,16220.599609375,16275.5,16157.900390625,16273.650390625,281100,1
2022-07-11,16216.0,16248.5498046875,16115.5,16136.150390625,255900,-1
2022-07-12,16058.2998046875,16158.75,16031.150390625,16126.2001953125,208600,-1
2022-07-13,15966.650390625,16140.0,15950.150390625,16128.2001953125,233300,-1
2022-07-14,15938.650390625,16070.849609375,15858.2001953125,16018.849609375,228600,-1
2022-07-15,16049.2001953125,16066.9501953125,15927.2998046875,16010.7998046875,205800,1
2022-07-18,16278.5,16287.9501953125,16142.2001953125,16151.400390625,227700,1
2022-07-19,16340.5498046875,16359.5,16187.0498046875,16187.0498046875,222600,1
2022-07-20,16520.849609375,16588.0,16490.94921875,16562.80078125,284400,-1
2022-07-21,16605.25,16626.94921875,16483.900390625,16523.55078125,243600,-1
2022-07-22,16719.44921875,16752.25,16610.900390625,16661.25,190900,-1
2022-07-25,16631.0,16706.05078125,16564.25,16662.55078125,211400,-1
2022-07-26,16483.849609375,16636.099609375,16463.30078125,16632.900390625,208200,-1
2022-07-27,16641.80078125,16653.44921875,16438.75,16475.349609375,185200,-1
2022-07-28,16929.599609375,16947.650390625,16746.25,16774.849609375,376300,1
2022-07-29,17158.25,17172.80078125,17018.150390625,17079.5,436100,1
2022-08-01,17340.05078125,17356.25,17154.80078125,17243.19921875,381500,-1
2022-08-02,17345.44921875,17390.150390625,17215.849609375,17310.150390625,333600,-1
2022-08-03,17388.150390625,17407.5,17225.849609375,17349.25,285400,1
2022-08-04,17382.0,17490.69921875,17161.25,17463.099609375,325000,-1
2022-08-05,17397.5,17474.400390625,17348.75,17423.650390625,355300,1
2022-08-08,17525.099609375,17548.80078125,17359.75,17401.5,257000,-1
2022-08-10,17534.75,17566.099609375,17442.80078125,17566.099609375,312700,-1
2022-08-11,17659.0,17719.30078125,17631.94921875,17711.650390625,311200,1
2022-08-12,17698.150390625,17724.650390625,17597.849609375,17659.650390625,303900,1
2022-08-16,17825.25,17839.099609375,17764.05078125,17797.19921875,0,-1
2022-08-17,17944.25,17965.94921875,17833.349609375,17868.150390625,262800,1
2022-08-18,17956.5,17968.44921875,17852.05078125,17898.650390625,263900,-1
2022-08-19,17758.44921875,17992.19921875,17710.75,17966.55078125,295600,1
2022-08-22,17490.69921875,17690.05078125,17467.349609375,17682.900390625,287600,-1
2022-08-23,17577.5,17625.55078125,17345.19921875,17357.349609375,285600,-1
2022-08-24,17604.94921875,17623.650390625,17499.25,17525.44921875,262000,-1
2022-08-25,17522.44921875,17726.5,17487.44921875,17679.0,230200,-1
2022-08-26,17558.900390625,17685.849609375,17519.349609375,17619.30078125,266600,-1
2022-08-29,17312.900390625,17380.150390625,17166.19921875,17188.650390625,244900,-1
2022-08-30,17759.30078125,17777.650390625,17401.5,17414.94921875,324700,1
2022-09-01,17542.80078125,17695.599609375,17468.44921875,17485.69921875,308500,-1
2022-09-02,17539.44921875,17643.849609375,17476.44921875,17598.400390625,256300,-1
2022-09-05,17665.80078125,17683.150390625,17540.349609375,17546.44921875,230300,-1
2022-09-06,17655.599609375,17764.650390625,17587.650390625,17695.69921875,251200,1
2022-09-07,17624.400390625,17650.75,17484.30078125,17519.400390625,354100,1
2022-09-08,17798.75,17807.650390625,17691.94921875,17748.150390625,279800,-1
2022-09-09,17833.349609375,17925.94921875,17786.0,17923.349609375,270300,-1
2022-09-12,17936.349609375,17980.55078125,17889.150390625,17890.849609375,228200,1
2022-09-13,18070.05078125,18088.30078125,18015.44921875,18044.44921875,259900,1
2022-09-14,18003.75,18091.55078125,17771.150390625,17771.150390625,365900,1
2022-09-15,17877.400390625,18096.150390625,17861.5,18046.349609375,289600,1
2022-09-16,17530.849609375,17820.05078125,17497.25,17796.80078125,468500,1
2022-09-19,17622.25,17667.19921875,17429.69921875,17540.650390625,258300,1
2022-09-20,17816.25,17919.30078125,17744.400390625,17770.400390625,263100,-1
2022-09-21,17718.349609375,17838.69921875,17663.599609375,17766.349609375,245500,1
2022-09-22,17629.80078125,17722.75,17532.44921875,17609.650390625,284100,1
2022-09-23,17327.349609375,17642.150390625,17291.650390625,17593.849609375,390800,1
2022-09-26,17016.30078125,17196.400390625,16978.30078125,17156.30078125,492000,-1
2022-09-27,17007.400390625,17176.44921875,16942.349609375,17110.900390625,359900,1
2022-09-28,16858.599609375,17037.599609375,16820.400390625,16870.55078125,323900,-1
2022-09-29,16818.099609375,17026.05078125,16788.599609375,16993.599609375,340000,-1
2022-09-30,17094.349609375,17187.099609375,16747.69921875,16798.05078125,376100,1
2022-10-03,16887.349609375,17114.650390625,16855.55078125,17102.099609375,278400,-1
2022-10-04,17274.30078125,17287.30078125,17117.30078125,17147.44921875,226000,-1
2022-10-06,17331.80078125,17428.80078125,17315.650390625,17379.25,265500,1
2022-10-07,17314.650390625,17337.349609375,17216.94921875,17287.19921875,216300,1
2022-10-10,17241.0,17280.150390625,17064.69921875,17094.349609375,234000,-1
2022-10-11,16983.55078125,17261.80078125,16950.30078125,17256.05078125,282600,1
2022-10-12,17123.599609375,17142.349609375,16960.05078125,17025.55078125,256000,-1
